epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.45272,0.97365,4.1417,1.53727,0.30435,0.47222,0.36207,0.29352,0.76409,3.15821,1.31931,0.0991,0.0001,0.0001
2,6.68881,0.9817,3.69422,1.52547,0.33227,0.47222,0.36065,0.28977,0.79334,3.16384,1.36085,0.097297,0.00029703,0.00029703
3,8.65489,0.86003,4.34037,1.44178,0.33097,0.47222,0.34318,0.27404,0.79597,3.20381,1.34831,0.0954901,0.0004901,0.0004901
4,10.9321,1.27139,4.73738,1.7927,0.02208,0.08333,0.02593,0.00291,2.50426,124.708,3.80235,0.0936792,0.00067921,0.00067921
5,13.9149,1.82185,6.25286,2.08071,0.04762,0.16667,0.05587,0.01644,2.37826,264.07,3.25044,0.0918644,0.00086436,0.00086436
6,16.8271,1.91599,7.45955,2.04759,0,0,0,0,3.69427,inf,147.729,0.0900456,0.00104555,0.00104555
7,19.3248,1.9227,3.6809,2.14018,0,0,0,0,nan,nan,nan,0.0882228,0.00122278,0.00122278
8,21.6559,2.70793,8.41063,3.1062,0,0,0,0,nan,nan,nan,0.0863961,0.00139605,0.00139605
9,23.9302,3.10419,3.41687,3.28688,0,0,0,0,nan,nan,nan,0.0845654,0.00156536,0.00156536
10,26.2335,3.13099,3.35637,3.18392,0,0,0,0,nan,nan,nan,0.0827307,0.00173071,0.00173071
11,28.5775,2.704,3.54552,2.89619,0,0,0,0,nan,nan,nan,0.0808921,0.0018921,0.0018921
12,30.9427,2.69056,3.42236,3.00048,0,0,0,0,nan,nan,nan,0.0790495,0.00204953,0.00204953
13,33.2411,2.71892,3.47941,2.93062,0,0,0,0,nan,nan,nan,0.077203,0.002203,0.002203
14,35.5944,2.75636,3.48138,2.84947,0,0,0,0,nan,nan,nan,0.0753525,0.00235251,0.00235251
15,37.9745,2.55652,3.33309,2.72673,0,0,0,0,nan,nan,nan,0.0734981,0.00249806,0.00249806
16,40.284,2.44912,3.09467,2.78735,0,0,0,0,nan,nan,nan,0.0716396,0.00263965,0.00263965
1,6.18123,0.92994,3.78571,1.35472,0.29241,0.44114,0.34448,0.28124,0.7636,3.22265,1.31388,0.0973,0.0003,0.0003
2,9.27152,1.11772,6.18771,1.59841,0.18627,0.19444,0.15706,0.06212,1.67197,158.774,2.27445,0.0936931,0.00069307,0.00069307
3,13.0619,1.73177,9.06859,1.96959,0,0,0,0,nan,nan,nan,0.0900782,0.00107822,0.00107822
4,16.8509,2.62068,4.40817,3.04798,0,0,0,0,nan,nan,nan,0.0864555,0.00145545,0.00145545
