epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.934,1.61277,2.73178,1.94823,0.35153,0.39286,0.12092,0.03203,2.61355,11.2257,3.92365,0.070102,0.003322,0.003322
2,322.664,1.49028,2.27297,1.83391,0.85474,0.15621,0.15186,0.04603,2.576,4.65123,3.72061,0.0400362,0.00658944,0.00658944
3,478.428,1.40044,2.03507,1.74756,0.53816,0.45883,0.57237,0.25732,2.2912,1.81682,3.06136,0.00990427,0.00979089,0.00979089
4,633.175,1.34075,1.81127,1.68051,0.26328,0.63181,0.43557,0.16094,2.25868,3.53133,3.26395,0.009703,0.009703,0.009703
5,787.457,1.28164,1.6937,1.62013,0.91712,0.70204,0.86825,0.46253,1.60591,1.31102,2.29662,0.009604,0.009604,0.009604
6,941.927,1.22225,1.59406,1.57068,0.66861,0.74522,0.82377,0.44691,1.57263,1.18565,2.20571,0.009505,0.009505,0.009505
7,1093.96,1.20616,1.53167,1.5536,0.77592,0.92857,0.92451,0.56067,1.38254,1.18018,2.00407,0.009406,0.009406,0.009406
8,1230.12,1.17078,1.44476,1.52772,0.88712,0.91167,0.96101,0.54284,1.5022,1.09977,2.12042,0.009307,0.009307,0.009307
9,1367.27,1.14316,1.41559,1.50795,0.90419,0.95205,0.995,0.54928,1.34803,1.1046,1.94088,0.009208,0.009208,0.009208
10,1503.84,1.14429,1.38128,1.49805,0.77559,0.88626,0.9025,0.57769,1.26375,1.02616,1.79413,0.009109,0.009109,0.009109
11,1639.23,1.11958,1.36945,1.48411,0.6979,0.82153,0.90226,0.50751,1.37867,1.08237,2.0013,0.00901,0.00901,0.00901
12,1776.03,1.10374,1.3375,1.47357,0.8849,0.95862,0.995,0.61818,1.3115,0.82459,1.99734,0.008911,0.008911,0.008911
13,1912.87,1.08778,1.27468,1.46242,0.75745,0.88921,0.92655,0.52604,1.48517,0.92121,2.14534,0.008812,0.008812,0.008812
14,2050.14,1.09053,1.28055,1.46236,0.88804,0.90435,0.92492,0.5251,1.35586,0.84471,1.9986,0.008713,0.008713,0.008713
15,2187.19,1.07234,1.21514,1.45028,0.78521,0.87984,0.88131,0.52054,1.51789,0.97515,2.12111,0.008614,0.008614,0.008614
16,2323.57,1.05571,1.23526,1.43603,0.93907,0.95404,0.995,0.51832,1.37717,0.80253,2.0379,0.008515,0.008515,0.008515
17,2460.17,1.04666,1.20541,1.42985,0.81308,1,0.995,0.56366,1.34814,0.8193,1.97703,0.008416,0.008416,0.008416
18,2595.98,1.03979,1.18759,1.42354,0.87253,0.94512,0.98786,0.62569,1.16932,0.74747,1.73689,0.008317,0.008317,0.008317
19,2731.23,1.03635,1.14351,1.42167,0.90343,1,0.995,0.51654,1.59049,0.79748,2.25147,0.008218,0.008218,0.008218
20,2867.71,1.02792,1.13526,1.4151,0.79465,0.8997,0.90862,0.58271,1.22507,0.90531,1.87012,0.008119,0.008119,0.008119
21,3009.16,1.0089,1.09399,1.39952,0.94697,0.99125,0.995,0.57883,1.17802,0.70853,1.81279,0.00802,0.00802,0.00802
22,3163.34,1.00678,1.08789,1.39658,0.88635,0.96429,0.98786,0.62353,1.20167,0.75715,1.7962,0.007921,0.007921,0.007921
23,3317.24,0.99706,1.07876,1.38822,0.94324,0.98057,0.995,0.60886,1.15955,0.68826,1.79529,0.007822,0.007822,0.007822
24,3470.57,0.9907,1.05083,1.39156,0.82481,0.90193,0.9009,0.6033,1.19173,0.67288,1.87355,0.007723,0.007723,0.007723
