epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.03832,0.7633,0.75,1,0.50798,0,0,0
2,2.33777,0.87284,0.75,1,0.51447,1.6505e-05,1.6505e-05,1.6505e-05
3,3.19773,0.79535,0.75,1,0.51081,3.26799e-05,3.26799e-05,3.26799e-05
4,4.0043,0.71826,1,1,0.50572,4.85247e-05,4.85247e-05,4.85247e-05
5,4.84958,0.7398,0.75,1,0.49961,6.40395e-05,6.40395e-05,6.40395e-05
6,5.69166,0.68663,0.75,1,0.48928,7.92242e-05,7.92242e-05,7.92242e-05
7,6.47667,0.54964,0.75,1,0.4765,9.40788e-05,9.40788e-05,9.40788e-05
8,7.2872,0.55701,0.75,1,0.46486,0.000108603,0.000108603,0.000108603
9,8.09291,0.48824,0.75,1,0.44512,0.000122798,0.000122798,0.000122798
10,8.90672,0.447,0.75,1,0.4216,0.000136662,0.000136662,0.000136662
11,9.70961,0.34,0.75,1,0.39057,0.000150197,0.000150197,0.000150197
12,10.4967,0.30593,1,1,0.35969,0.000163401,0.000163401,0.000163401
13,11.2856,0.25056,1,1,0.32725,0.000176275,0.000176275,0.000176275
14,12.0966,0.26776,1,1,0.29864,0.000188819,0.000188819,0.000188819
